Beast,CR,CR#,Basic Familiar,Beast Companion,Size,XP,AC,HP,Speed,Fly,Swim,Skills,Senses,Ability1,Ability2,Ability3,Ability4,Multiattack,Attack1,Attack2,Combat Notes,STR,DEX,CON,INT,WIS,CHA,Saving Throws,Environment,Alignment,Language,SourceMaterial,MM Description
Octopus,0,0,TRUE,TRUE,Small,10,12,3 (1d6),"5 ft., swim 30 ft.",FALSE,TRUE,"Perception +2, Stealth +4","Darkvision 30 ft., Passive Perception 12","Hold Breath. While out of water, the octopus can hold its breath for 30 minutes.",Underwater Camouflage. The octopus has advantage on Dexterity (Stealth) checks made while underwater.,Water Breathing. The octopus can breathe only underwater.,none,none,"Tentacles. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 bludgeoning damage, and the target is grappled (escape DC 10). Until this grapple ends, the octopus can't use its tentacles on another target.","Ink Cloud (Recharges after a Short or Long Rest). A 5-foot-radius cloud of ink extends all around the octopus if it is underwater. The area is heavily obscured for 1 minute, although a significant current can disperse the ink. After releasing the ink, the octopus can use the Dash action as a bonus action.","grapple, obscure",4 (?3),15 (+2),11 (+0),3 (?4),10 (+0),4 (?3),,Underwater,Unaligned,none,Monster Manual,
Owl,0,0,TRUE,TRUE,Tiny,10,11,1 (1d4 ? 1),"5 ft., fly 60 ft.",TRUE,FALSE,"Perception +3, Stealth +3","Darkvision 120 ft., Passive Perception 13-18",Flyby. The owl doesn't provoke opportunity attacks when it flies out of an enemy's reach.,Keen Hearing and Sight. The owl has advantage on Wisdom (Perception) checks that rely on hearing or sight.,none,none,none,"Talons. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 1 slashing damage.",none,none,3 (?4),13 (+1),8 (?1),2 (?4),12 (+1),7 (?2),,"Arctic,Forest",Unaligned,none,Monster Manual,
Ox,1/4th,0.25,FALSE,TRUE,Large,50,10,15 (2d10+4),30 ft.,FALSE,FALSE,none,Passive Perception 10,"Charge. If the ox moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 7 (2d6) piercing damage.",Beast of Burden. The oxen is considered to be a Huge animal for the purposes of determining its carrying capacity.,none,none,none,"Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6+4) piercing damage.",none,none,18 (+4),10 (0),14 (+2),2 (-4),10 (0),4 (-3),,"Grassland,Urban",Unaligned,none,Volo's Guide,
Panther,1/4th,0.25,FALSE,TRUE,Medium,50,12,13 (3d8),"50 ft., climb 40 ft.",FALSE,FALSE,"Perception +4, Stealth +6",Passive Perception 14-19,Keen Smell. The panther has advantage on Wisdom (Perception) checks that rely on smell.,"Pounce. If the panther moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 12 Strength saving throw or be knocked prone. If the target is prone, the panther can make one bite attack against it as a bonus action.",none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.","Claw. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.",prone,14 (+2),15 (+2),10 (+0),3 (?4),14 (+2),7 (?2),,"Forest,Grassland,Hill",Unaligned,none,Monster Manual,
Plesiosaurus,2,2,FALSE,FALSE,Large,450,13,68 (8d10 + 24),"20 ft., swim 40 ft.",FALSE,TRUE,"Perception +3, Stealth +4",Passive Perception 13,Hold Breath. The plesiosaurus can hold its breath for 1 hour.,none,none,none,none,"Bite. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 14 (3d6 + 4) piercing damage.",none,none,18 (+4),15 (+2),16 (+3),2 (?4),12 (+1),5 (?3),,"Coast,Underwater",Unaligned,none,Monster Manual,Steeders are giant spiders that are native to the Underdark. Duergar breed and use these beasts as humans do horses. Females are larger than males.
Poisonous Snake,1/8th,0.125,TRUE,TRUE,Tiny,25,13,2 (1d4),"30 ft., swim 30 ft.",FALSE,TRUE,none,"Blindsight 10 ft., Passive Perception 10",none,none,none,none,none,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 piercing damage, and the target must make a DC 10 Constitution saving throw, taking 5 (2d4) poison damage on a failed save, or half as much damage on a successful one.",none,none,2 (?4),16 (+3),11 (+0),1 (?5),10 (+0),3 (?4),,"Coast,Desert,Forest,Grassland,Hill,Swamp",Unaligned,none,Monster Manual,
Polar Bear,2,2,FALSE,FALSE,Large,450,12,42 (5d10 + 15),"40 ft., swim 30 ft.",FALSE,TRUE,Perception +3,Passive Perception 13-18,Keen Smell. The bear has advantage on Wisdom (Perception) checks that rely on smell.,none,none,none,Multiattack. The bear makes two attacks: one with its bite and one with its claws.,"Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) piercing damage.","Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.",none,20 (+5),10 (+0),16 (+3),2 (?4),13 (+1),7 (?2),,"Arctic,UnderDark",Unaligned,none,Monster Manual,
Pony,1/8th,0.125,FALSE,TRUE,Medium,25,10,11 (2d8 + 2),40 ft.,FALSE,FALSE,none,Passive Perception 10,none,none,none,none,none,"Hooves. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) bludgeoning damage.",none,none,15 (+2),10 (+0),13 (+1),2 (?4),11 (+0),7 (?2),,"Grassland,Hill,Forest,Mountain",Unaligned,none,Monster Manual,
Pteranodon,1/4th,0.25,FALSE,TRUE,Medium,50,13,13 (3d8),"10 ft., fly 60 ft.",TRUE,FALSE,Perception +1,Passive Perception 11,Flyby. The pteranodon doesn�t provoke opportunity attacks when it flies out of an enemy�s reach.,none,none,none,none,"Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) piercing damage",none,none,12 (+1),15 (+2),10 (0),2 (-4),9 (-1),5 (-3),,"Coast,Grassland,Mountain",Unaligned,none,Monster Manual,
Quetzalcoatlus,2,2,FALSE,FALSE,Huge,450,13,30 (4d12+4),"10 ft., fly 80 ft.",TRUE,FALSE,Perception +2,Passive Perception 12,"Dive Attack. If the quetzalcoatlus is flying and dives at least 30 feet toward a target and then hits with a bite attack, the attack deals an extra 10 (3d6) damage to the target.",Flyby. The quetzalcoatlus doesn�t provoke an opportunity attack when it flies out of an enemy�s reach.,none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 10 ft., one creature. Hit: 12 (3d6+2) piercing damage.",none,none,15 (+2),13 (+1),13 (+1),2 (-4),10 (0),5 (-3),,Coastal,Unaligned,none,Volo's Guide,
Quipper,0,0,TRUE,TRUE,Tiny,10,13,1 (1d4 ? 1),"0 ft., swim 40 ft.",FALSE,TRUE,none,"Darkvision 60 ft., Passive Perception 8",Blood Frenzy. The quipper has advantage on melee attack rolls against any creature that doesn't have all its hit points.,Water Breathing. The quipper can breathe only underwater.,none,none,none,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",none,none,2 (?4),16 (+3),9 (?1),1 (?5),7 (?2),2 (?4),,Underwater,Unaligned,none,Monster Manual,
Rat,0,0,TRUE,TRUE,Tiny,10,10,1 (1d4 ? 1),20 ft.,FALSE,FALSE,none,"Darkvision 30 ft., Passive Perception 10-15",Keen Smell. The rat has advantage on Wisdom (Perception) checks that rely on smell.,none,none,none,none,"Bite. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",none,none,2 (?4),11 (+0),9 (?1),2 (?4),10 (+0),4 (?3),,Swamp,Unaligned,none,Monster Manual,
Raven,0,0,TRUE,TRUE,Tiny,10,12,1 (1d4 ? 1),"10 ft., fly 50 ft.",TRUE,FALSE,Perception +3,Passive Perception 13,"Mimicry. The raven can mimic simple sounds it has heard, such as a person whispering, a baby crying, or an animal chittering. A creature that hears the sounds can tell they are imitations with a successful DC 10 Wisdom (Insight) check.",none,none,none,none,"Beak. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",none,none,2 (?4),14 (+2),8 (?1),2 (?4),12 (+1),6 (?2),,"Hill,Swamp",Unaligned,none,Monster Manual,
Reef Shark,1/2nd,0.5,FALSE,FALSE,Medium,100,12,22 (4d8 + 4),"0 ft., swim 40 ft.",FALSE,TRUE,Perception +2,"Blindsight 30 ft., Passive Perception 12",Pack Tactics. The shark has advantage on an attack roll against a creature if at least one of the shark's allies is within 5 feet of the creature and the ally isn't incapacitated.,Water Breathing. The shark can breathe only underwater.,none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",none,none,14 (+2),13 (+1),13 (+1),1 (?5),10 (+0),4 (?3),,Underwater,Unaligned,none,Monster Manual,
Rhinoceros,2,2,FALSE,FALSE,Large,450,11,45 (6d10 + 12),40 ft.,FALSE,FALSE,none,Passive Perception 11,"Charge. If the rhinoceros moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 9 (2d8) bludgeoning damage. If the target is a creature, it must succeed on a DC 15 Strength saving throw or be knocked prone.",none,none,none,none,"Gore. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage.",none,prone,21 (+5),8 (?1),15 (+2),2 (?4),12 (+1),6 (?2),,Grassland,Unaligned,none,Monster Manual,
Riding Horse,1/4th,0.25,FALSE,TRUE,Large,50,10,13 (2d10 + 2),60 ft.,FALSE,FALSE,none,Passive Perception 10,none,none,none,none,none,"Hooves. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (2d4 + 3) bludgeoning damage.",none,none,16 (+3),10 (+0),12 (+1),2 (?4),11 (+0),7 (?2),,Grassland,Unaligned,none,Monster Manual,
Rothe,1/4th,0.25,FALSE,TRUE,Large,50,10,15 (2d10+4),30 ft.,FALSE,FALSE,none,"Passive Perception 10, Darkvision 30 ft.","Charge. If the rothe moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 7 (2d6) piercing damage.",none,none,none,none,"Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6+4) piercing damage.",none,none,18 (+4),10 (0),14 (+2),2 (-4),10 (0),4 (-3),,"Arctic,Grassland",Unaligned,none,Volo's Guide,
Saber Toothed Tiger,2,2,FALSE,FALSE,Large,450,12,52 (7d10 + 14),40 ft.,FALSE,FALSE,"Perception +3, Stealth +6",Passive Perception 13-18,Keen Smell. The tiger has advantage on Wisdom (Perception) checks that rely on smell.,"Pounce. If the tiger moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 14 Strength saving throw or be knocked prone. If the target is prone, the tiger can make one bite attack against it as a bonus action.",none,none,none,"Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 10 (1d10 + 5) piercing damage.","Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.",prone,18 (+4),14 (+2),15 (+2),3 (?4),12 (+1),8 (?1),,"Arctic,Mountain",Unaligned,none,Monster Manual,
Scorpion,0,0,FALSE,TRUE,Tiny,10,11,1 (1d4 ? 1),10 ft.,FALSE,FALSE,none,"Blindsight 10 ft., Passive Perception 9",none,none,none,none,none,"Sting. Melee Weapon Attack: +2 to hit, reach 5 ft., one creature. Hit: 1 piercing damage, and the target must make a DC 9 Constitution saving throw, taking 4 (1d8) poison damage on a failed save, or half as much damage on a successful one.",none,none,2 (?4),11 (+0),8 (?1),1 (?5),8 (?1),2 (?4),,Desert,Unaligned,none,Monster Manual,
Sea Horse,0,0,TRUE,TRUE,Tiny,0,11,1 (1d4 ? 1),"0 ft., swim 20 ft.",FALSE,TRUE,none,Passive Perception 10,Water Breathing. The sea horse can breathe only underwater.,none,none,none,none,none,none,none,1 (?5),12 (+1),8 (?1),1 (?5),10 (+0),2 (?4),,Underwater,Unaligned,none,Monster Manual,
Spider,0,0,TRUE,TRUE,Tiny,10,12,1 (1d4 ? 1),"20 ft., climb 20 ft.",FALSE,FALSE,Stealth +4,"Darkvision 30 ft., Passive Perception 10","Spider Climb. The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","Web Sense. While in contact with a web, the spider knows the exact location of any other creature in contact with the same web.",Web Walker. The spider ignores movement restrictions caused by webbing.,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 1 piercing damage, and the target must succeed on a DC 9 Constitution saving throw or take 2 (1d4) poison damage.",none,none,2 (?4),14 (+2),8 (?1),1 (?5),10 (+0),2 (?4),,"Desert,Forest,Swamp,UnderDark",Unaligned,none,Monster Manual,
Stegosaurus,4,4,FALSE,FALSE,Huge,1100,13,76 (8d12+24),40 ft.,FALSE,FALSE,none,Passive Perception 10,none,none,none,none,none,"Tail. Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 26 (6d6+5) piercing damage.",none,none,20 (+5),9 (-1),17 (+3),2 (-4),11 (0),5 (-3),,"Forest,Grassland",Unaligned,none,Volo's Guide,
Stench Kow,1/4th,0.25,FALSE,TRUE,Large,50,10,15 (2d10+4),30 ft.,FALSE,FALSE,none,"Passive Perception 10, Darkvision 60 ft.","Damage Resistances cold, fire, poison","Charge. If the kow moves at least 20 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 7 (2d6) piercing damage.","Stench. Any creature other than a stench kow that starts its turn within 5 feet of the stench kow must succeed on a DC 12 Constitution saving throw or be poisoned until the start of the creature�s next turn. On a successful saving throw, the creature is immune to the stench of all stench kows for 1 hour.",none,none,"Gore. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6+4) piercing damage.",none,poison,18 (+4),10 (0),14 (+2),2 (-4),10 (0),4 (-3),,Lower Planes,Unaligned,none,Volo's Guide,
Stirge,1/8th,0.125,FALSE,TRUE,Tiny,25,14,2 (1d4),"10 ft., fly 40 ft.",TRUE,FALSE,none,"Darkvision 60 ft., Passive Perception 9",none,none,none,none,none,"Blood Drain. Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 5 (1d4 + 3) piercing damage, and the stirge attaches to the target. While attached, the stirge doesn't attack. Instead, at the start of each of the stirge's turns, the target loses 5 (1d4 + 3) hit points due to blood loss.",none,attach,4 (?3),16 (+3),11 (+0),2 (?4),8 (?1),6 (?2),,"Coast,Desert,Forest,Grassland,Hill,Mountain,Swamp,UnderDark",Unaligned,none,Monster Manual,
Tiger,1,1,FALSE,FALSE,Large,200,12,37 (5d10 + 10),40 ft.,FALSE,FALSE,"Perception +3, Stealth +6","Darkvision 60 ft., Passive Perception 13-18",Keen Smell. The tiger has advantage on Wisdom (Perception) checks that rely on smell.,"Pounce. If the tiger moves at least 20 feet straight toward a creature and then hits it with a claw attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the tiger can make one bite attack against it as a bonus action.",none,none,none,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage.","Claw. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage.",prone,17 (+3),15 (+2),14 (+2),3 (?4),12 (+1),8 (?1),,"Forest,Grassland",Unaligned,none,Monster Manual,�
Tressym,0,0,FALSE,TRUE,Tiny,10,12,5 (2d4),"40 ft., climb 30 ft., fly 40 ft.",TRUE,FALSE,"Perception +5, Stealth +4",Passive Perception 15-20,"Detect Invisibility. Within 50 feet of the tressym, magical invisibility fails to conceal anything from the tressym�s sight",Keen Smell. The tressym has advantage on Wisdom (Perception) checks that rely on smell.,Damage/Condition Immunity: Poison.,"Poison Sense. The tressym can detect whether a substance is poisonous by taste, touch, or smell.",none,"Claws. Melee Weapon Attack: +0 to hit, reach 5 ft., one target. Hit: 1 slashing damage.",none,none,3 (-4),15 (+2),10 (0),11 (0),12 (+1),12 (+1),,tbd,Unaligned,none,Storm King's Thunder,
Triceratops,5,5,FALSE,FALSE,Huge,1800,13,95 (10d12 + 30),50 ft.,FALSE,FALSE,none,Passive Perception 10,"Trampling Charge. If the triceratops moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a DC 13 Strength saving throw or be knocked prone. If the target is prone, the triceratops can make one stomp attack against it as a bonus action.",none,none,none,none,"Gore. Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 24 (4d8 + 6) piercing damage.","Stomp. Melee Weapon Attack: +9 to hit, reach 5 ft., one prone creature. Hit: 22 (3d10 + 6) bludgeoning damage.",prone,22 (+6),9 (?1),17 (+3),2 (?4),11 (+0),5 (?3),,Grassland,Unaligned,none,Monster Manual,
Tyrannosaurus Rex,8,8,FALSE,FALSE,Huge,3900,13,136 (13d12 + 52),50 ft.,FALSE,FALSE,Perception +4,Passive Perception 14,none,none,none,none,Multiattack. The tyrannosaurus makes two attacks: one with its bite and one with its tail. It can't make both attacks against the same target.,"Bite. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 33 (4d12 + 7) piercing damage. If the target is a Medium or smaller creature, it is grappled (escape DC 17). Until this grapple ends, the target is restrained, and the tyrannosaurus can't bite another target.","Tail. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 20 (3d8 + 7) bludgeoning damage.","grapple, restrain",25 (+7),10 (+0),19 (+4),2 (?4),12 (+1),9 (?1),,Grassland,Unaligned,none,Monster Manual,
Velociraptor,1/4th,0.25,FALSE,TRUE,Tiny,50,13,10 (3d4+3),30 ft.,FALSE,FALSE,Perception +3,Passive Perception 13,Pack Tactics. The velociraptor has advantage on an attack roll against a creature if at least one of the velociraptor�s allies is within 5 feet of the creature and the ally isn�t incapacitated.,none,none,none,Multiattack. The velociraptor makes two attacks: one with its bite and one with its claws.,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6+2) piercing damage.","Claws. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4+2) slashing damage.",none,6 (-2),14 (+2),13 (+1),4 (-3),12 (+1),6 (-2),,"Desert,Forest,Grassland",Unaligned,none,Volo's Guide,
Vulture,0,0,FALSE,TRUE,Medium,10,10,5 (1d8 + 1),"10 ft., fly 50 ft.",TRUE,FALSE,Perception +3,Passive Perception 13-18,Keen Sight and Smell. The vulture has advantage on Wisdom (Perception) checks that rely on sight or smell.,Pack Tactics. The vulture has advantage on an attack roll against a creature if at least one of the vulture's allies is within 5 feet of the creature and the ally isn't incapacitated.,none,none,none,"Beak. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1d4) piercing damage.",none,none,7 (?2),10 (+0),13 (+1),2 (?4),12 (+1),4 (?3),,"Desert,Grassland,Hill",Unaligned,none,Monster Manual,
Warhorse,1/2nd,0.5,FALSE,FALSE,Large,100,11,19 (3d10 + 3),60 ft.,FALSE,FALSE,none,Passive Perception 11,"Trampling Charge. If the horse moves at least 20 feet straight toward a creature and then hits it with a hooves attack on the same turn, that target must succeed on a DC 14 Strength saving throw or be knocked prone. If the target is prone, the horse can make another attack with its hooves against it as a bonus action.",none,none,none,none,"Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.",none,prone,18 (+4),12 (+1),13 (+1),2 (?4),12 (+1),7 (?2),,"Grassland,Hill,Forest,Mountain",Unaligned,none,Monster Manual,
Weasel,0,0,TRUE,TRUE,Tiny,10,13,1 (1d4 ? 1),30 ft.,FALSE,FALSE,"Perception +3, Stealth +5",Passive Perception 13-18,Keen Hearing and Smell. The weasel has advantage on Wisdom (Perception) checks that rely on hearing or smell.,none,none,none,none,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 1 piercing damage.",none,none,3 (?4),16 (+3),8 (?1),2 (?4),12 (+1),3 (?4),,"Forest,Grassland,Hill",Unaligned,none,Monster Manual,
Wolf,1/4th,0.25,FALSE,TRUE,Medium,50,13,11 (2d8 + 2),40 ft.,FALSE,FALSE,"Perception +3, Stealth +4",Passive Perception 13-18,Keen Hearing and Smell. The wolf has advantage on Wisdom (Perception) checks that rely on hearing or smell.,Pack Tactics. The wolf has advantage on an attack roll against a creature if at least one of the wolf�s allies is within 5 ft. of the creature and the ally isn�t incapacitated.,none,none,none,"Bite. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage. If the target is a creature, it must succeed on a DC 11 Strength saving throw or be knocked prone.",none,prone,12 (+1),15 (+2),12 (+1),3 (?4),12 (+1),6 (?2),,"Forest,Grassland,Hill",Unaligned,none,Monster Manual,
